,almanca,turkce
21,einspeisen,"enjekte etmek, beslemek"
22,die Grundlage für etwas bilden,temelini oluşturmak
23,innovativ,"yenilikçi, innovativ"
24,quirlig,"hayat dolu, coşkun"
25,ungebremst,"kontrolsüz, frensiz"
26,ungeklärt,"çözülmemiş, açıklanmamış"
27,andernfalls,aksi takdirde
28,"unter die Bedingung, dass",şartıyla
29,"im Falle, dass",durumunda
30,sofern,"eğer, şayet, sağlandıysa"
31,sonst,"yoksa, aksi halde, başka"
32,"vorausgesetzt, dass",şu şartla ki ...
33,das Beet,"pancar, yastık"
34,der Dilettant,acami
35,die Diversität,çeşitlilik
36,ansetzen,"eklemek, kararlaştırmak"
37,spießig,"dar görüşlü, darkafalı"
38,neuerdings,"geçenlerde, son zamanlarda, yine"
39,die Hektik,"acele, telaş"
40,sich von etwas fernhalten,"uzak durmak, kaçınmak"
41,anonym,anonim
42,sich etwas bewusst werden,bir şeyden haberdar olmak
43,dahingehend,bu etkiye
44,derartig,"bu gibi, böyle, bu tür"
45,womöglich,"mümkünse, belki"
46,die Bevölkerungsdichte,nüfus yoğunluğu
47,die Diskrepanz,"tutarsızlık, çelişki"
48,die Provinz,"il, vilayet"
49,die Siedlung,"yerleşim bölgesi, koloni"
50,die Sparkasse,tasarruf bankası
51,die Tristesse,üzüntü
52,die Wanderschaft,"gezinme, seyahat"
53,kreuzen,"kesmek, kavuşturmak, melezleştirmek"
54,auf etwas angewiesen sein,birine/bir şeye bağlı olmak
55,um etwas bemüht sein,kazanmak için zorlamak
56,dankbar für,için minnettar
57,erfahren in,"hakkında bilgili, deneyimli"
58,erfreut über,memnun
59,gespannt auf,"endişeli, gergin"
60,überzeugt von,"inanmış, ikna olmuş"
61,zufrieden mit,memnun
62,einen trockenen Humor haben,kuru bir mizah anlayışına sahip olmak
63,eine spitze Zunge haben,keskin bir dile sahip olmak
64,kurzweilig,eğlenceli
65,zurzeit,şu anda
66,der Aussteiger,itirafçı
67,der Eigenbedarf,"şahsi ihtiyaç, kişisel ihtiyaç"
68,das Glasfasernetz,fiber optik ağ
69,die Nutzfläche,"etki alanı, kullanılabilir alan"
70,die Schlosserwerkstatt,çilingir dükkanı
71,die Schneiderei,terzi dükkanı
72,die Urkunde,"belge, senet, sertifika"
73,der Vorstand,"yönetim kurulu, başkan"
74,die Ziege,keçi
75,los sein,bir şeyden kurtulmak
76,alternativ,alternatif
77,belästigt,taciz
78,obschon,"rağmen, olsa da"
79,obgleich,"rağmen, olsa da"
80,ungeachtet,"e bakmayarak, -e rağmen"
81,die Linde,ıhlamur ağacı
82,der Blickkontakt,göz teması
83,die Jury,jüri
84,der Kontrahent,"rakip, karşı taraf"
85,etwas ausführen,gerçekleştirmek
86,etwas behaupten,iddia etmek
87,etwas erwidern,"karşılık vermek, cevap vermek"
88,als etwas fungieren,"gibi davranmak, olarak çalışmak"
89,hinterfragen,dikkatle incelemek
90,nicken,başını sallamak
91,präzisieren,"belirlemek, daha kesin tanımlamak"
92,ein Argument anbringen,taşı gediğine koymak
93,angemessen,uygun
94,schlagendes Argument,zorlayıcı argüman
95,stichhaltig,inandırıcı
96,beziehungsweise,"yahut, daha doğrusu"
97,respektive,sırasıyla
98,vielmehr,"tam aksine, bilakis"
0,der Ausspruch,"söz, alıntı"
1,der Schmetterling,kelebek
2,ahnen,sez(inle)mek
3,die Erkenntnis,"bilgi, anlama"
4,die Fantasie,hayal gücü
5,die Frustration,"hüsran, düş kırıklığı"
6,die Intensität,"yoğunluk, şiddet"
7,der Irrtum,"hata, yanlış(lık)"
8,die Kreativität,yaratıcılık
9,der Literat,"edebi figür, yazar"
10,die Manipulation,manipülasyon
11,die Naivität,saflık
12,der Philosoph,filozof
13,die Philosophie,felsefe
14,der Reichtum,"zenginlik, servet, varlık"
15,der Ruhm,"şan, şöhret"
16,die Spekulation,"spekülasyon, varsayım"
17,der Untergang,"batma, çökme"
18,der Verrat,"ihanet, hainlik"
19,der Zugang,"erişim, giriş, geçit yolu"
20,beiwohnen,hazır bulunmak
21,eintauchen,banmak
22,empfinden,"hissetmek, görmek, (öyle) bulmak"
23,versinken,batmak
24,etwas als... abtun,umursamamak
25,Es ist die Rede von...,konuşuluyor ...
26,auf Anhieb verstehen,hemen anlamak
27,präzise,"doğru, kesin"
28,pur,saf
29,restlos,tamamen
30,süchtig,bağımlı
31,winzig,ufacık
32,zugleich,aynı zamanda
33,die Auslegung,"yorum, tefsir"
34,der Gegenspieler,rakip
35,der Handlungsstrang,"hikayesi, konusu"
36,die Identität,kimlik
37,die Lektüre,"okuma, okuma materyali"
38,die Lesart,"okuma, yorumlama, uyarlama"
39,der Plot,arsa
40,der Protagonist,baş kahraman
41,der Schauplatz,"mekan, sahne"
42,der Spannungsbogen,"merakla bekleme, endişe"
43,agieren,"çalışmak, oynamak, yapmak"
44,sich ansiedeln,"yerleşmek, kolonileştirmek"
45,etwas auslegen,yorumlamak
46,jemanden in den Bann ziehen,büyülenmek
47,identitätsstiftend,kimlik-kurulması
48,stimmig,tutarlı
49,die Belletristik,kurgu
50,der Bestseller,çok satan
51,sich auszeichnen durch,ile karakterize edilmek
52,erscheinen,"görünmek, belirmek"
53,jemandem etwas ans Herz legen,birine bir şeyi hararetle tavsiye etmek
54,die Effizienz,verimlilik
55,die Panik,panik
56,bedauern,pişman olmak
57,schildern,"betimlemek, tarif etmek"
58,jemandem Vorhaltungen machen,birine saldırgan bir şekilde ders vermek
59,gehemmt,tutuk
60,genussorientiert,rahatına düşkün
61,hemmungslos,"kendini tutamayan, frensiz"
62,hinterhältig,sinsi
63,schüchtern,"utangaç, mahcup"
64,sorgfältig,titiz
65,spurlos,izsiz
66,treffend,uygun
67,unberechenbar,öngörülemeyen
68,verkrampft,sıkışık
69,verunsichert,"belirsiz, güvensiz"
70,währenddessen,o sırada
71,woraufhin,bunun üzerine
72,die Adaption,adaptasyon
73,die Bebilderung,örnekleme
74,die Dramaturgie,"dramaturji, drama sanatı"
75,die Einmischung,"müdahele, karışma"
76,sich in etwas einmischen,bir şeye karışmak
77,der Einfall,(ani) fikir
78,das Gedicht,şiir
79,der Klang,"ton, nağme"
80,die Silbe,hece
81,der Vers,"mısra, dize"
82,abschließen,"sonuçlandırmak, tamamlamak"
83,knien,diz çökmek
84,sich reimen,kafiye yapmak
85,wiederkehren,"tekrar etmek, dönmek"
86,sich gut halten,iyi yaşlanmak
87,kompatibel,uyumlu
88,die Inspiration,ilham
89,die Phase,faz
90,der Verlag,yayınevi
91,der Vorzug,"tercih, fayda"
92,zwecks,... amacıyla
0,die Entscheidungsfindung,karar verme
1,die Intention,niyet
2,das Regelwerk,"kurallar kümesi, kurallar, politika"
3,der Schock,şok
4,das Statussymbol,statü sembolü
5,die Tagesordnung,gündem
6,etwas ausmerzen,"yok etmek, silmek"
7,an etwas grenzen,"sınırdaş olmak, bitişik olmak."
8,sich seine Chancen verderben,şansını mahvetmek
9,klarmachen,"açıklamak, netleştirmek"
10,einen Fehler begehen,hata yapmak
11,viel Wert liegen auf,çok değer vermek
12,wenig Wert liegen auf,az değer vermek
13,arrogant,kibirli
14,bescheiden,"mütevazı, alçak gönüllü"
15,ersichtlich,"açık, belirgin"
16,gründlich,özenle
17,minutiös,kılı kırk yaran
18,pragmatisch,pragmatik
19,ruppig,kaba
20,wesentlich,"esaslı, çok önemli"
21,demnach,"öyleyse, bu nedenle"
22,demzufolge,"bu nedenle, buna göre"
23,"derartig, dass",öyle ki
24,infolge,"...nedeniyle, ...yüzünden"
25,infolge von,nedeniyle
26,infolgedessen,sonuç olarak
27,solch ein,"böyle bir, filanca"
28,weshalb,bu yüzden
29,weswegen,bu yüzden
30,individualistisch,bireysel
31,der Kollektivist,kolektivist
32,sogenannt,"sözde, yaygın olarak adlandırılan"
33,im Nachhinein,"sonradan, ondan sonra"
34,das Outfit,"giyim/kuşam, teçhizat"
35,jemanden von etwas ablenken,dikkatini dağıtmak
36,gelten als,"olarak kabul edilmek, addedilmek"
37,gedeckte Farben,yumuşak renk tonları
38,leger,rahat (giyim)
39,Es ist ein Muss,"bir zorunluluktur, bir esastır"
40,im Zweifel,kuşku halinde
41,die Etikette,"protokol, teşrifat"
42,die Hilfsbereitschaft,yardımseverlik
43,der Ranghöhere,yüksek rütbeli kişi
44,der Rangniedere,düşük rütbeli kişi
45,sich einer Erneuerung erfreuen,yenilenmenin tadını çıkarmak
46,niesen,hapşırmak
47,sich an etwas orientieren,yönlendirilmek
48,repräsentieren,temsil etmek
49,strapazieren,aşındırmak
50,mit jemandem Rücksprache halten,danışmak
51,einen positiven Eindruck hinterlassen,olumlu bir izlenim bırakmak
52,einen negativen Eindruck hinterlassen,olumsuz bir izlenim bırakmak
53,genau richtig liegen,doğru hedefte olmak
54,viel Aufheben machen von,"hakkında yaygara koparmak, mesele çıkarmak"
55,erwünscht,"istenilen, beğenilen"
56,unverschämt,"utanmaz, arsız"
57,zaghaft,"ürkek, çekingen"
58,in Maßen,aşırıya kaçmadan
59,immerhin,"buna rağmen, hiç olmazsa"
60,die Hypothese,hipotez
61,erarbeiten,çalışarak elde etmek
62,eröffnen,açmak
63,reformieren,reform yapmak
64,reintegrieren,yeniden entegre etmek
65,revidieren,"revize etmek, değiştirmek"
66,ernüchtert,hayal kırıklığına uğramış
67,das Forum,"forum, panel"
68,der Intellekt,"akıl, beyin gücü"
69,die Irritation,"tahriş, sinirlendirme"
70,die Reibung,sürtünme
71,beibehalten,"korumak, alıkoymak"
72,erschweren,"ağırlaştırmak, zorlaştırmak"
73,punkten,puan vermek
74,widerspiegeln,yansıtmak
75,mit sich bringen,"gerektirmek, bir şeye neden olmak"
76,über etwas entsetzt sein,dehşete düşmek
77,mittels,"... Sayesinde, aracılığıyla"
78,die Ablöse,"devir ücreti, tazminat"
79,anerkennen,tanımak
80,etwas einbauen,monte etmek
81,um etwas pokern,poker oynamak
82,sich nach etwas richten,bir şeye uymak
83,notfalls,başka çare yoksa
84,die Rezension,"tenkit, eleştiri"
85,der Small Talk,küçük konuşma
86,der Trainer,"eğitmen, koç"
87,durch die Hintertür,arka kapıdan
88,konsequent,"tutarlı, sebatlı"
89,quasi,"adeta, sanki"
0,der Modellbau,model yapımı
1,fernsteuern,uzaktankomutlamak
2,der Atem,nefes
3,der Bruchteil,kesir
4,die Drohne,erkek arı
5,der Finalist,finalist
6,die Frequenz,frekans
7,die Geste,"jest, işaret"
8,die Prothese,"protez, yapay uzuv"
9,das Unterfangen,çaba
10,sich beruhigen,sakinleşmek
11,sich herausstellen,"meydana çıkmak, anlaşılmak"
12,ins Spiel kommen,oyuna girmek
13,anschmiegsam,"yumuşak, şefkatli"
14,beträchtlich,"dikkate değer, epey, önemli"
15,eigenhändig,kendi eliyle
16,erfinderisch,"icatcı, yaratıcı"
17,fieberhaft,ateşli
18,unvergleichlich,"eşsiz, benzersiz"
19,rundum,"her yönden, tamamen"
20,angesichts,"...ışığında, ...görünümünde"
21,anlässlich,... dolayısıyla
22,hinsichtlich,... Bakımından
23,mithilfe von,...yardımı ile
24,oberhalb,...in yukarısında
25,ungeachtet,"...e rağmen, ...e bakmayarak"
26,unweit,"...in yakında, ...in civarında"
27,der Antrieb,"harekete geçirme, teşvik, motivasyon"
28,der Behälter,"konteyner, kap"
29,das Gut,"mal, mülk, eşya"
30,das Patent,patent
31,das Rauschgift,uyuşturucu (madde)
32,der Scanner,tarayıcı
33,der Sprengstoff,patlayıcı madde
34,die Trefferquote,isabet oranı
35,auslösen,tetiklemek
36,durchschreiten,bir şeyden geçmek
37,erteilen,vermek
38,großschreiben,büyük harflerle yazmak
39,kostenpflichtig,ücretli
40,potenziell,potansiyel
41,umsetzbar,"mümkün, uygulanabilir, gerçekleştirilebilir"
42,gegebenenfalls,"gereğince, icabında"
43,der Eingriff,"müdahale, karışma"
44,die Evolution,evrim
45,das Experimentierstadium,deneysel aşama
46,Grenzen setzen,sınırları belirlemek
47,Grenzen überschreiten,sınırları aşmak
48,gentechnisch,genetik
49,die Erbsubstanz,kalıtsal madde
50,die Errungenschaft,kazanım
51,das Gen,gen
52,mit etwas umgehen,uğraşmak
53,zu etwas verhelfen,birine bir şeyi elde etmesi için yardımcı olmak
54,zum Einsatz kommen,"eyleme geçmek, kullanılmak"
55,jemandem ins Handwerk pfuschen,birinin zanaatına / uzmanlığına müdahale etmek
56,umstritten sein,"tartışmalı, kavgalı"
57,sich einer Behandlung unterziehen,tedavi görmek
58,im Wege stehen,"birinin yolunda durmak, birine engel olmak"
59,genetisch,genetik
60,strittig,tartışmalı
61,das All,"hepsi, evren"
62,das Weltall,"evren, kosmos"
63,der Android,android
64,die Mimik,mimik
65,das Modul,modül
66,der Proband,"deneme, deneye tabi"
67,der Raumfahrer,uzay gezgini
68,der Roboter,robot
69,der Sensor,"sensör, algılayıcı"
70,ausrüsten mit,donatmak
71,formen,biçimlendirmek
72,suggerieren,"önermek, telkin etmek"
73,autistisch,otistik
74,dunstig,"buğulu, dumanlı (d.)"
75,finster,"karanlık, asık"
76,humanoid,insansı
77,kaltblütig,soğuk kanlı
78,stumm,"dilsiz, sessiz"
79,gewissermaßen,"adeta, sanki"
80,das Reagenzglas,test tüpü
81,durch etwas durchlaufen,bir şeyden geçmek (çapraz)
82,Phasen durchlaufen,aşamaları geçmek
83,in andere Hände übergehen,el değiştirmek
84,etwas übergehen,"geçmek, atlamak"
85,überspringen,üstünden atlamak
86,etwas überspringen,atlamak
87,übertreten,"izinsiz girmek, ihlal etmek"
88,zu eine andere Religion übertreten,başka bir dine geçmek
89,eine Regel übertreten,bir kuralı ihlal etmek
90,umfahren,"baypas etmek, atlatmak"
91,eine Baustelle umfahren,bir alanı atlatmak
92,umschreiben,"yeniden yazmak, başka kelimelerle açıklamak"
93,einen Text umschreiben,metni başka kelimelerle yeniden yazmak
94,ein unbekanntes Wort umschreiben,bilinmeyen bir kelimeyi tanımlamak
95,jemanden unterhalten,finansal olarak desteklemek
96,durchdrungen,"nüfuz, yayılmış"
97,die Norm,"norm, kural, standart"
98,der Rohstoff,"emtia, ham madde"
